ID,TARGET
1,0.10026388981329308
3,0.02151381902527257
6,0.008055242302001234
7,0.06886718399809014
12,0.0014564602203386565
18,0.06310605081932448
37,0.008048696570622677
45,0.0871703708238574
48,0.06867416986947829
50,0.08717066146494501
62,0.06867825904234755
64,0.05113843205068471
67,0.1274218611861302
68,0.00807348425526546
69,0.04137386094915505
71,0.03681958735444303
86,0.009409601484870297
91,0.009419660729590773
96,0.008081133824407536
106,0.008406489817664092
109,0.06866071246200166
123,0.04620977195818958
126,0.04043253090830494
133,0.009355942590627615
140,0.1454063298357434
150,0.1316806089300964
155,0.13028402675433343
164,0.012162592626136469
165,0.006908757686582055
167,0.06855294150178387
168,0.009420925267120494
169,0.08714543142930757
173,0.009359917072143432
177,0.05935075702566842
182,0.06865363654667722
183,0.0593663414124977
187,0.12745366527958513
189,0.11153368866614657
196,0.03682226138969177
203,0.009417078165917341
223,0.008099069992572356
224,0.0686038632862098
227,0.08716992823465045
229,0.006896899311612192
230,0.09108207000343968
235,0.040356015978026606
236,0.008073981343231987
240,0.00942579391218365
241,0.05941799857389708
246,0.07322881861409704
248,0.05943562131327078
249,0.008080045597708497
250,0.008077976339772678
255,0.0871487862790876
258,0.11451652886373793
259,0.06866718870915774
261,0.1272854952950655
262,0.06842089087622155
263,0.009421355936612955
265,0.009427357461878746
266,0.009425996510470387
270,0.021520175319299437
272,0.043592487827964946
273,0.009426854776706104
274,0.046700406689542916
276,0.08717495866254585
277,0.08715984620846458
283,0.08715318306889237
286,0.046886369356970034
287,0.21871865061487886
298,0.18036469876411665
305,0.008083031225753361
309,0.08717398315106471
314,0.009428904775291841
315,0.008082276934010509
318,0.009426385021593844
321,0.05137049747775493
326,0.06871712241552634
328,0.01580726842554222
338,0.009425474484491271
341,0.08717316078742084
343,0.059307218868354564
344,0.05119235891707195
346,0.0121646471645359
348,0.06848955716741513
351,0.0368373556508259
355,0.059454660945855685
356,0.08715026023838514
357,0.009431226082193673
358,0.08715765778744355
361,0.1769266462148879
366,0.008062700603677486
367,0.00807408580321212
370,0.08716993619185
380,0.005900869069537265
382,0.08716104682954079
384,0.0871108061654982
392,0.06871857894958525
393,0.08709417886703338
397,0.008084451803424993
